Category 2|Category 3|Category 4|Extension|Description
Tabulated data|||CSV|Comma-separated values
Tabulated data|||db|databank format; accessible by many econometric applications
Tabulated data|||dif|accessible by many spreadsheet applications
Video|||AAF|mostly intended to hold edit decisions and rendering information, but can also contain compressed media essence
Video|||3GP|the most common video format for cell phones
Video|||GIF|Animated GIF (simple animation; until recently often avoided because of patent problems)
Video|||ASF|container (enables any form of compression to be used; MPEG-4 is common; video in ASF-containers is also called Windows Media Video (WMV))
Video|||AVCHD|Advanced Video Codec High Definition
Video|||AVI|container (a shell, which enables any form of compression to be used)
Video|||.bik|BIK Bink Video file. A video compression system developed by RAD Game Tools
Video|||BRAW|a high bitrate video format used by Blackmagic Design cameras.
Video|||CAM|aMSN webcam log file
Video|||COLLAB|Blackboard Collaborate session recording
Video|||DAT|video standard data file (automatically created when we attempted to burn as video file on the CD)
Video|||DVR-MS|Windows XP Media Center Edition's Windows Media Center recorded television format
Video|||FLV|Flash video (encoded to run in a flash animation)
Video|||MPEG-1|M1V Video
Video|||MPEG-2|M2V Video
Video|||NOA|rare movie format use in some Japanese eroges around 2002
Video|||FLA|Adobe Flash (for producing)
Video|||FLR|(text file which contains scripts extracted from SWF by a free ActionScript decompiler named FLARE)
Video|||SOL|"Adobe Flash shared object (""Flash cookie"")"
Video|||STR|Sony PlayStation video stream
Video|||M4V|video container file format developed by Apple
Video|||.mkv|Matroska Matroska is a container format, which enables any video format such as MPEG-4 ASP or AVC to be used along with other content such as subtitles and detailed meta information
Video|||WRAP|MediaForge (.wrap)
Video|||MNG|mainly simple animation containing PNG and JPEG objects, often somewhat more complex than animated GIF
Video|||.mov|QuickTime container which enables any form of compression to be used; Sorenson codec is the most common; QTCH is the filetype for cached video and audio streams
Video|||.mpeg|MPEG
Video|||.mpg|MPEG
Video|||.mpe|MPEG
Video|||THP|Nintendo proprietary movie/video format
Video|||MPEG-4|"MPEG-4 Part 14, shortened ""MP4"" multimedia container (most often used for Sony's PlayStation Portable and Apple's iPod)"
Video|||MXF|Material Exchange Format (standardized wrapper format for audio/visual material developed by SMPTE)
Video|||ROQ|used by Quake III Arena
Video|||NSV|NSV Nullsoft Streaming Video (media container designed for streaming video content over the Internet)
Video|||Ogg|container, multimedia
Video|||RM|RealMedia
Video|||SVI|SVI Samsung video format for portable players
Video|||SMI|SMI SAMI Caption file (HTML like subtitle for movie files)
Video|||.smk|SMK Smacker video file. A video compression system developed by RAD Game Tools
Video|||SWF|Adobe Flash (for viewing)
Video|||.TORRENT|A file that does not hold the video, but simply where the video is located (Can also be used to store the location of a software or audio)
Video|||WMV|Windows Media Video (See ASF)
Video|||WTV|Windows Vista's and up Windows Media Center recorded television format
Video|||YUV|raw video format; resolution (horizontal x vertical) and sample structure 4:2:2 or 4:2:0 must be known explicitly
Video|||WebM|video file format for web video using HTML5
Video|Video editing, production||BRAW|Blackmagic Design RAW video file name
Video|Video editing, production||DRP|Davinci Resolve 17 project file
Video|Video editing, production||FCP|Final Cut Pro project file
Video|Video editing, production||MSWMM|Windows Movie Maker project file
Video|Video editing, production||PPJ|Adobe Premiere Pro video editing file
Video|Video editing, production||PRPROJ|Adobe Premiere Pro video editing file
Video|Video editing, production||AEP|Adobe After Effects video editing file
Video|Video editing, production||IMOVIEPROJ|iMovie project file
Video|Video editing, production||VEG|Sony Vegas project file
Video|Video editing, production||VEG-BAK|Sony Vegas project file
Video|Video editing, production||SUF|Sony camera configuration file (setup.suf) produced by XDCAM-EX camcorders
Video|Video editing, production||WLMP|Windows Live Movie Maker project file
Video|Video editing, production||KDENLIVE|Kdenlive project file
Video|Video editing, production||VPJ|VideoPad project file
Video|Video editing, production||MOTN|Apple Motionproject file
Video|Video editing, production||IMOVIEMOBILE|iMovie project file for iOS users
Video|Video editing, production||WFP|Wondershare Filmora Project
Video|Video editing, production||WVE|Wondershare Filmora Project
Video|Video editing, production||PDS|Cyberlink PowerDirector project
Video|Video editing, production||VPROJ|VSDC Free Video Editor project file
Video game data|osu!||OSK|Compressed skin archive
Video game data|osu!||OSR|Compressed replay archive
Video game data|osu!||OSZ|Compressed beatmap archive
Video game data|osu!||OSB|storyboard data
Video game data|osu!||OSC|osu!stream combined stream data
Video game data|osu!||OSF2|free osu!stream song file
Video game data|osu!||OSR|replay data
Video game data|osu!||OSU|beatmap data
Video game data|osu!||OSZ2|paid osu!stream song file
Video game data|osu!||OSG|compressed live gameplay archive (optimized for spectating)
Video game data|Minecraft||MCADDON|Bedrock Edition add-ons and resource packs
Video game data|Minecraft||MCFUNCTION|functions/scripts
Video game data|Minecraft||MCMETA|customizable texture packs
Video game data|Minecraft||MCPACK|Bedrock Edition in-game texture packs and full add-ons
Video game data|Minecraft||MCR|data for in-game worlds before version 1.2
Video game data|Minecraft||MCTEMPLATE|Bedrock Edition world templates
Video game data|Minecraft||MCWORLD|Bedrock Edition in-game worlds
Video game data|Minecraft||NBS|used by Note Block Studio, a tool that can be used to make songs with note blocks in-game
Video game data|Minecraft||EPK|used by Eaglercraft, an AOT compiled port of Minecraft which has been modified to run under TeaVM, a Java emulator for HTML5 & JavaScript, for saving world data, resource packs, profiles and more.
Video game data|TrackMania/Maniaplanet Engine||GBX|All user-created content is stored in this file type.
Video game data|TrackMania/Maniaplanet Engine||REPLAY.GBX|Stores the replay of a race.
Video game data|TrackMania/Maniaplanet Engine||CHALLENGE.GBX|Stores tracks/maps.
Video game data|TrackMania/Maniaplanet Engine||MAP.GBX|Stores tracks/maps.
Video game data|TrackMania/Maniaplanet Engine||SYSTEMCONFIG.GBX|Launcher info.
Video game data|TrackMania/Maniaplanet Engine||TRACKMANIAVEHICLE.GBX|Info about a certain car type.
Video game data|TrackMania/Maniaplanet Engine||VEHICLETUNINGS.GBX|Vehicle physics.
Video game data|TrackMania/Maniaplanet Engine||SOLID.GBX|A block's model.
Video game data|TrackMania/Maniaplanet Engine||ITEM.GBX|Custom Maniaplanet item.
Video game data|TrackMania/Maniaplanet Engine||BLOCK.GBX|Custom Maniaplanet block.
Video game data|TrackMania/Maniaplanet Engine||TEXTURE.GBX|Info about a texture that are used in materials.
Video game data|TrackMania/Maniaplanet Engine||MATERIAL.GBX|Info about a material such as surface type that are used in Solids.
Video game data|TrackMania/Maniaplanet Engine||TMEDCLASSIC.GBX|Block info.
Video game data|TrackMania/Maniaplanet Engine||GHOST.GBX|Player ghosts in Trackmania and TrackMania Turbo.
Video game data|TrackMania/Maniaplanet Engine||CONTROLSTYLE.GBX|Menu files.
Video game data|TrackMania/Maniaplanet Engine||SCORES.GBX|Stores info about the player's best times.
Video game data|TrackMania/Maniaplanet Engine||PROFILE.GBX|Stores a player's info such as their login.
Video game data|TrackMania/Maniaplanet Engine||DDS|Almost every texture in the game uses this format.
Video game data|TrackMania/Maniaplanet Engine||PAK|Stores environment data such as valid blocks.
Video game data|TrackMania/Maniaplanet Engine||LOC|A locator. Locators allow the game to download content such as car skins from an external server.
Video game data|TrackMania/Maniaplanet Engine||SCRIPT.TXT|Scripts for Maniaplanet such as menus and game modes.
Video game data|TrackMania/Maniaplanet Engine||XML|ManiaLinks.
Video game data|Doom engine||WAD|Data storage (contains music, maps, and textures)
Video game data|Doom engine||DEH|DeHackEd files to mutate the game executable (not officially part of the Doom engine)
Video game data|Doom engine||DSG|Saved game
Video game data|Doom engine||LMP|"A ""lump"", an entry in a WAD file"
Video game data|Doom engine||LMP|Saved demo recording
Video game data|Doom engine||MUS|Music file (usually contained within a WAD file)
Video game data|Quake engine||BSP|BSP: (For binary space partitioning) compiled map format
Video game data|Quake engine||MAP|MAP: Raw map format used by editors like GtkRadiant or QuArK
Video game data|Quake engine||MDL|MDL/MD2/MD3/MD5: Model for an item used in the game
Video game data|Quake engine||MD2|MDL/MD2/MD3/MD5: Model for an item used in the game
Video game data|Quake engine||MD3|MDL/MD2/MD3/MD5: Model for an item used in the game
Video game data|Quake engine||MD5|MDL/MD2/MD3/MD5: Model for an item used in the game
Video game data|Quake engine||PAK|PAK/PK2: Data storage
Video game data|Quake engine||PK2|PAK/PK2: Data storage
Video game data|Quake engine||PK3|PK3/PK4: used by the Quake II, Quake III Arena and Quake 4 game engines, respectively, to store game data, textures etc. They are actually .zip files.
Video game data|Quake engine||PK4|PK3/PK4: used by the Quake II, Quake III Arena and Quake 4 game engines, respectively, to store game data, textures etc. They are actually .zip files.
Video game data|Quake engine||.dat|"not specific file type, often generic extension for ""data"" files for a variety of applications, sometimes used for general data contained within the .PK3/PK4 files"
Video game data|Quake engine||.fontdat|a .dat file used for formatting game fonts
Video game data|Quake engine||.roq|Video format
Video game data|Quake engine||.sav|Savegame/Savefile format
Video game data|Unreal Engine||FUK|Map File for Postal 2
Video game data|Unreal Engine||U|Unreal script format
Video game data|Unreal Engine||UASSET|An asset format since Unreal Engine 4/5.
Video game data|Unreal Engine||UAX|Animations format for Unreal Engine 2.
Video game data|Unreal Engine||UMAP|Map file type for Unreal Engine and levels.
Video game data|Unreal Engine||UMX|Map format for Unreal Tournament
Video game data|Unreal Engine||UMX|Music format for Unreal Engine 1
Video game data|Unreal Engine||UNR|Map format for Unreal
Video game data|Unreal Engine||UPK|Package format for cooked content in Unreal Engine 3
Video game data|Unreal Engine||USX|Sound format for Unreal Engine 1 and Unreal Engine 2
Video game data|Unreal Engine||UT2|Map format for Unreal Tournament 2003 and Unreal Tournament 2004
Video game data|Unreal Engine||UT3|Map format for Unreal Tournament 3
Video game data|Unreal Engine||UTX|Texture format for Unreal Engine 1 and Unreal Engine 2
Video game data|Unreal Engine||UXX|Cache format; these are files a client downloaded from server (which can be converted to regular formats)
Video game data|Duke Nukem 3D Engine||DMO|Save game
Video game data|Duke Nukem 3D Engine||GRP|Data storage
Video game data|Duke Nukem 3D Engine||MAP|Map (usually constructed with BUILD.EXE)
Video game data|Diablo Engine||SV|Save Game
Video game data|Diablo Engine||ITM|Item File
Video game data|Real Virtuality Engine||SQF|Format used for general editing
Video game data|Real Virtuality Engine||SQM|Format used for mission files
Video game data|Real Virtuality Engine||PBO|Binarized file used for compiled models
Video game data|Real Virtuality Engine||LIP|Format that is created from WAV files to create in-game accurate lip-sync for character animations.
Video game data|Source engine||BSP|Source Engine compiled map file
Video game data|Source engine||DEM|Source Engine demo format
Video game data|Source engine||HL2|Half-Life 2 save format
Video game data|Source engine||MDL|Source Engine model format
Video game data|Source engine||PCF|Source Engine particle effect file
Video game data|Source engine||SAV|Source Engine save format
Video game data|Source engine||SMD|Source Engine uncompiled model format
Video game data|Source engine||VMF|Valve Hammer Map editor raw map file
Video game data|Source engine||VMT|Source Engine material format.
Video game data|Source engine||VMX|Valve Hammer Map editor backup map file
Video game data|Source engine||VPK|Source Engine pack format
Video game data|Source engine||VTF|Source Engine texture format
Video game data|Pokémon generation V||CGB|Pokémon Black and White/Black 2 and White 2 C-Gear skins
Video game data|Other formats||ARC|used to store New Super Mario Bros. Wii level data
Video game data|Other formats||B|used for Grand Theft Auto saved game files
Video game data|Other formats||BOL|used for levels on Poing!PC
Video game data|Other formats||DBPF|The Sims 2, DBPF, Package
Video game data|Other formats||DIVA|Project DIVA timings, element coordinates, MP3 references, notes, animation poses and scores.
Video game data|Other formats||ESM|Master and Plugin data archives for the Creation Engine
Video game data|Other formats||ESP|Master and Plugin data archives for the Creation Engine
Video game data|Other formats||HAMBU|format used by the Aidan's Funhouse game RGTW for storing map data
Video game data|Other formats||HE0|HE games File
Video game data|Other formats||HE2|HE games File
Video game data|Other formats||HE4|HE games File
Video game data|Other formats||GCF|format used by the Steam content management system for file archives
Video game data|Other formats||IMG|format used by Renderware-based Grand Theft Auto games for data storage
Video game data|Other formats||LOVE|format used by the LOVE2D Engine
Video game data|Other formats||MAP|format used by Halo: Combat Evolved for archive compression, Doom³, and various other games
Video game data|Other formats||MCA|format used by Minecraft for storing data for in-game worlds
Video game data|Other formats||NBT|format used by Minecraft for storing program variables along with their (Java) type identifiers
Video game data|Other formats||OEC|format used by OE-Cake for scene data storage
Video game data|Other formats||P3D|format for panda3d by Disney
Video game data|Other formats||PLAGUEINC|format used by Plague Inc. for storing custom scenario information
Video game data|Other formats||POD|format used by Terminal Reality
Video game data|Other formats||RCT|Used for templates and save files in RollerCoaster Tycoon games
Video game data|Other formats||REP|used by Blizzard Entertainment for scenario replays in StarCraft
Video game data|Other formats||RIQ|Used in Heaven Studio to store custom maps
Video game data|Other formats||Simcity|All game plugins use this format, commonly with different file extensions (Sim City 4)
Video game data|Other formats||DBPF|All game plugins use this format, commonly with different file extensions (Sim City 4)
Video game data|Other formats||.dat|All game plugins use this format, commonly with different file extensions (Sim City 4)
Video game data|Other formats||.SC4Lot|All game plugins use this format, commonly with different file extensions (Sim City 4)
Video game data|Other formats||.SC4Model|All game plugins use this format, commonly with different file extensions (Sim City 4)
Video game data|Other formats||SMZIP|ZIP-based package for StepMania songs, themes and announcer packs.
Video game data|Other formats||SOLITAIRETHEME8|A solitaire theme for Windows solitaire
Video game data|Other formats||UNI|Super Mario UniMaker level data
Video game data|Other formats||UNIS|Super Mario UniMaker level data
Video game data|Other formats||USLD|format used by Unison Shift to store level layouts.
Video game data|Other formats||VVVVVV|format used by VVVVVV
Video game data|Other formats||CPS|format used by The Powder Toy, Powder Toy save
Video game data|Other formats||STM|format used by The Powder Toy, Powder Toy stamp
Video game data|Other formats||PKG|format used by Bungie for the PC Beta of Destiny 2, for nearly all the game's assets.
Video game data|Other formats||CHR|format used by Team Salvato, for the character files of Doki Doki Literature Club!
Video game data|Other formats||Z5|format used by Z-machine for story files in interactive fiction.
Video game data|Other formats||scworld|format used by Survivalcraft to store sandbox worlds.
Video game data|Other formats||scskin|format used by Survivalcraft to store player skins.
Video game data|Other formats||scbtex|format used by Survivalcraft to store block textures.
Video game data|Other formats||prison|format used by Prison Architect to save prisons
Video game data|Other formats||escape|format used by Prison Architect to save escape attempts
Video game data|Other formats||WBFS|(Wii Backup File System)
Video game data|Other formats||.GBA|Game Boy Advance ROM File
Video game data|Other formats||.jkr|format used by Balatro for data storage
Video game data|Other formats||.pss|Sony PlayStation 2 Game Video file and is used to store audio and video data by games for the PlayStation 2 console.
Video game data|Other formats||.xd|A format used in a mod (XDBot) for Geometry Dash to save macros, (a format to replay inputs.) This is saved within the Documents section in File Explorer for Windows 10.
Video game data|Other formats||.fnfc|Friday Night Funkin' Chart File
Video game storage media|||.a26|Atari 2600
Video game storage media|||.a52|Atari 5200
Video game storage media|||.a78|Atari 7800
Video game storage media|||.lnx|Atari Lynx
Video game storage media|||.jag|an Atari Jaguar game from a Rom Cartridge
Video game storage media|||.j64|an Atari Jaguar game from a Rom Cartridge
Video game storage media|||.iso|a Wii and WiiU disk/game
Video game storage media|||.wbfs|a Wii and WiiU disk/game
Video game storage media|||.wad|a Wii and WiiU disk/game
Video game storage media|||.wdf|a Wii and WiiU disk/game
Video game storage media|||.gcm|a GameCube disk/game
Video game storage media|||.iso|a GameCube disk/game
Video game storage media|||.min|a Pokémon mini rom/game
Video game storage media|||.nds|a Nintendo DS game from a ROM Cartridge
Video game storage media|||.dsi|Nintendo DSiWare
Video game storage media|||.3ds|Nintendo 3DS
Video game storage media|||.cia|Nintendo 3DS Installation File (for installing games with the use of the FBI homebrew application)
Video game storage media|||.gb|Game Boy (this applies to the original Game Boy and the Game Boy Color)
Video game storage media|||.gbc|Game Boy Color
Video game storage media|||.gba|a Game Boy Advance Game from a ROM Cartridge
Video game storage media|||.sav|Game Boy Advance Saved Data Files
Video game storage media|||.sgm|Visual Boy Advance Save States
Video game storage media|||.n64|Nintendo 64
Video game storage media|||.v64|Nintendo 64
Video game storage media|||.z64|Nintendo 64
Video game storage media|||.u64|Nintendo 64
Video game storage media|||.usa|Nintendo 64
Video game storage media|||.jap|Nintendo 64
Video game storage media|||.pal|Nintendo 64
Video game storage media|||.eur|Nintendo 64
Video game storage media|||.bin|Nintendo 64
Video game storage media|||.pj|Project 64 Save States
Video game storage media|||.nes|Nintendo Entertainment System
Video game storage media|||.fds|Famicom Disk System
Video game storage media|||.jst|Jnes Save States
Video game storage media|||.fc#|FCEUX Save States (.fc#, where # is any character, usually a number)
Video game storage media|||.gg|Game Gear
Video game storage media|||.sms|Master System
Video game storage media|||.sg|SG-1000
Video game storage media|||.smd|Mega Drive/Genesis
Video game storage media|||.bin|Mega Drive/Genesis
Video game storage media|||.32x|Sega 32X
Video game storage media|||.smc|Super NES (.078 is for split ROMs, which are rare)
Video game storage media|||.078|Super NES (.078 is for split ROMs, which are rare)
Video game storage media|||.sfc|Super NES (.078 is for split ROMs, which are rare)
Video game storage media|||.fig|Super Famicom (Japanese releases are rarely .fig, above extensions are more common)
Video game storage media|||.srm|Super NES Saved Data Files
Video game storage media|||.zst|ZSNES Save States (.zst, .zs1-.zs9, .z10-.z99)
Video game storage media|||.zs1-.zs9|ZSNES Save States (.zst, .zs1-.zs9, .z10-.z99)
Video game storage media|||.z10-.z99|ZSNES Save States (.zst, .zs1-.zs9, .z10-.z99)
Video game storage media|||.frz|Snes9X Save States
Video game storage media|||.000-.008|Snes9X Save States
Video game storage media|||.pce|TurboGrafx-16/PC Engine
Video game storage media|||.npc|Neo Geo Pocket
Video game storage media|||.ngp|Neo Geo Pocket
Video game storage media|||.ngc|Neo Geo Pocket Color
Video game storage media|||.vb|Virtual Boy
Video game storage media|||.int|Intellivision
Video game storage media|||.min|Pokémon Mini
Video game storage media|||.vec|Vectrex
Video game storage media|||.bin|Odyssey²
Video game storage media|||.ws|WonderSwan
Video game storage media|||.wsc|WonderSwan Color
Video game storage media|||.tzx|ZX Spectrum (for exact copies of ZX Spectrum games)
Video game storage media|||TAP|for tape images without copy protection
Video game storage media|||Z80|(for snapshots of the emulator RAM)
Video game storage media|||SNA|(for snapshots of the emulator RAM)
Video game storage media|||DSK|(for disk images)
Video game storage media|||.tap|Commodore 64 (.tap) (for tape images including copy protection)
Video game storage media|||T64|(for tape images without copy protection, considerably smaller than .tap files)
Video game storage media|||D64|(for disk images)
Video game storage media|||CRT|(for cartridge images)
Video game storage media|||.adf|Amiga (.adf) (for 880K diskette images)
Video game storage media|||ADZ|GZip-compressed version of the above.
Video game storage media|||DMS|Disk Masher System, previously used as a disk-archiving system native to the Amiga, also supported by emulators.
Video game storage media|||.pss|A Sony PlayStation 2 Game Video file and is used to store audio and video data by games for the PlayStation 2 console.
Video game storage media|||.nsp|Nintendo Switch EShop Video Game file that stores audio data, video data, game data, and program code for the Nintendo Switch; Also supported by emulators.
Video game storage media|||.xci|Nintendo Switch Video Game cartridge dump file that stores audio data, video data, game data, and program code for the Nintendo Switch; Also supported by emulators.
Virtual machines|Microsoft Virtual PC, Virtual Server||.vfd|Virtual Floppy Disk
Virtual machines|Microsoft Virtual PC, Virtual Server||.vhd|Virtual Hard Disk
Virtual machines|Microsoft Virtual PC, Virtual Server||.vud|Virtual Undo Disk
Virtual machines|Microsoft Virtual PC, Virtual Server||.vmc|Virtual Machine Configuration
Virtual machines|Microsoft Virtual PC, Virtual Server||.vsv|Virtual Machine Saved State
Virtual machines|VMware ESX, GSX, Workstation, Player||.log|Virtual Machine Logfile
Virtual machines|VMware ESX, GSX, Workstation, Player||.vmdk|Virtual Machine Disk
Virtual machines|VMware ESX, GSX, Workstation, Player||.dsk|Virtual Machine Disk
Virtual machines|VMware ESX, GSX, Workstation, Player||.nvram|Virtual Machine BIOS
Virtual machines|VMware ESX, GSX, Workstation, Player||.vmem|Virtual Machine paging file
Virtual machines|VMware ESX, GSX, Workstation, Player||.vmsd|Virtual Machine snapshot metadata
Virtual machines|VMware ESX, GSX, Workstation, Player||.vmsn|Virtual Machine snapshot
Virtual machines|VMware ESX, GSX, Workstation, Player||.vmss|Virtual Machine suspended state
Virtual machines|VMware ESX, GSX, Workstation, Player||.std|Virtual Machine suspended state
Virtual machines|VMware ESX, GSX, Workstation, Player||.vmtm|Virtual Machine team data
Virtual machines|VMware ESX, GSX, Workstation, Player||.vmx|Virtual Machine configuration
Virtual machines|VMware ESX, GSX, Workstation, Player||.cfg|Virtual Machine configuration
Virtual machines|VMware ESX, GSX, Workstation, Player||.vmxf|Virtual Machine team configuration
Virtual machines|VirtualBox||.vbox|VirtualBox machine
Virtual machines|VirtualBox||.vdi|VirtualBox virtual disk image
Virtual machines|VirtualBox||.vbox-extpack|VirtualBox extension pack
Virtual machines|Parallels Workstation||.hdd|Virtual Machine hard disk
Virtual machines|Parallels Workstation||.pvs|Virtual Machine preferences/configuration
Virtual machines|Parallels Workstation||.sav|Virtual Machine saved state
Virtual machines|QEMU||.cow|Copy-on-write
Virtual machines|QEMU||.qcow|QEMU copy-on-write
Virtual machines|QEMU||.qcow2|QEMU copy-on-write – version 2
Virtual machines|QEMU||.qed|QEMU enhanced disk format
Web page|||DTD|Document Type Definition (standard), MUST be public and free
Web page|||.html|HTML HyperText Markup Language
Web page|||.htm|HTML HyperText Markup Language
Web page|||.xhtml|XHTML eXtensible HyperText Markup Language
Web page|||.xht|XHTML eXtensible HyperText Markup Language
Web page|||.mht|MHTML Archived HTML, store all data on one web page (text, images, etc.) in one big file
Web page|||.mhtml|MHTML Archived HTML, store all data on one web page (text, images, etc.) in one big file
Web page|||.maff|MAF web archive based on ZIP
Web page|||.asp|ASP Microsoft Active Server Page
Web page|||.aspx|ASPX Microsoft Active Server Page. NET
Web page|||.adp|ADP AOLserver Dynamic Page
Web page|||.bml|BML Better Markup Language (templating)
Web page|||.cfm|CFM ColdFusion
Web page|||.cgi|CGI
Web page|||.ihtml|iHTML Inline HTML
Web page|||.jsp|JSP JavaServer Pages
Web page|||.las|Lasso, A file created or served with the Lasso Programming Language
Web page|||.lasso|Lasso, A file created or served with the Lasso Programming Language
Web page|||.lassoapp|Lasso, A file created or served with the Lasso Programming Language
Web page|||.pl|Perl
Web page|||.php|PHP ? is version number (previously abbreviated Personal Home Page, later changed to PHP: Hypertext Preprocessor)
Web page|||.php?|PHP ? is version number (previously abbreviated Personal Home Page, later changed to PHP: Hypertext Preprocessor)
Web page|||.phtml|PHP ? is version number (previously abbreviated Personal Home Page, later changed to PHP: Hypertext Preprocessor)
Web page|||.shtml|SSI HTML with Server Side Includes (Apache)
Web page|||.stm|SSI HTML with Server Side Includes (Apache)
Markup languages and other web standards-based formats|||.atom|Atom Another syndication format.
Markup languages and other web standards-based formats|||.xml|Atom Another syndication format.
Markup languages and other web standards-based formats|||.eml|EML Format used by several desktop email clients.
Markup languages and other web standards-based formats|||.jsonld|JSON-LD A JSON-based serialization for linked data.
Markup languages and other web standards-based formats|||.kprx|KPRX A XML-based serialization for workflow definition generated by K2.
Markup languages and other web standards-based formats|||.ps|PS A XML-based serialization for test automation scripts called PowerScripts for K2 based applications.
Markup languages and other web standards-based formats|||.metalink|Metalink A format to list metadata about downloads, such as mirrors, checksums, and other information.
Markup languages and other web standards-based formats|||.met|Metalink A format to list metadata about downloads, such as mirrors, checksums, and other information.
Markup languages and other web standards-based formats|||.rss|RSS Syndication format.
Markup languages and other web standards-based formats|||.xml|RSS Syndication format.
Markup languages and other web standards-based formats|||.markdown|"Markdown Plain text formatting syntax, which is popularly used to format ""readme"" files."
Markup languages and other web standards-based formats|||.md|"Markdown Plain text formatting syntax, which is popularly used to format ""readme"" files."
Markup languages and other web standards-based formats|||.se|Shuttle Another lightweight markup language.
Other|||AXD|cookie extensions found in temporary internet folder
Other|||APK|Android Package Kit
Other|||BDF|Binary Data Format – raw data from recovered blocks of unallocated space on a hard drive
Other|||CBP|CD Box Labeler Pro, CentraBuilder, Code::Blocks Project File, Conlab Project
Other|||CEX|SolidWorks Enterprise PDM Vault File
Other|||COL|Nintendo GameCube proprietary collision file (.col)
Other|||CREDX|CredX Dat File
Other|||DDB|Generating code for Vocaloid singers voice (see .DDI)
Other|||DDI|Vocaloid phoneme library (Japanese, English, Korean, Spanish, Chinese, Catalan)
Other|||DUPX|DuupeCheck database management tool project file
Other|||FTM|Family Tree Maker data file
Other|||FTMB|Family Tree Maker backup file
Other|||GA3|Graphical Analysis 3
Other|||.ged|GEDCOM (GEnealogical Data COMmunication) format to exchange genealogy data between different genealogy software
Other|||HLP|Windows or CP/M help file
Other|||IGC|flight tracks downloaded from GPS devices in the FAI's prescribed format
Other|||INF|similar format to INI file; used to install device drivers under Windows, inter alia.
Other|||JAM|JAM Message Base Format for BBSes
Other|||KMC|tests made with KatzReview's MegaCrammer
Other|||KCL|Nintendo GameCube/Wii proprietary collision file (.kcl)
Other|||KTR|Hitachi Vantara Pentaho Data Integration/Kettle Transformation Project file
Other|||LNK|Microsoft Windows format for Hyperlinks to Executables
Other|||LSM|LSMaker script file (program using layered .jpg to create special effects; specifically designed to render lightsabers from the Star Wars universe) (.lsm)
Other|||MCR|a macro recording file for Super Macro software (.mcr)
Other|||MELSAVE|Melon Playground build save file
Other|||MELMOD|Melon Playground mod file
Other|||NARC|archive format used in Nintendo DS games
Other|||OER|AU OER Tool, Open Educational Resource editor
Other|||PA|Used to assign sound effects to materials in KCL files (.pa)
Other|||PIF|Used to run MS-DOS programs under Windows
Other|||POR|"So called ""portable"" SPSS files, readable by PSPP"
Other|||PXZ|Compressed file to exchange media elements with PSALMO
Other|||RISE|File containing RISE generated information model evolution
Other|||SCR|Windows Screen Saver file
Other|||TOPC|TopicCrunch SEO Project file holding keywords, domain, and search engine settings (ASCII)
Other|||XLF|Utah State University Extensible LADAR Format
Other|||XMC|Assisted contact lists format, based on XML and used in kindergartens and schools
Other|||ZED|My Heritage Family Tree
Other|||zone|Zone file a text file containing a DNS zone
Other|||FX|Microsoft DirectX plain text effects and properties for the associated file and are used to specify the textures, shading, rendering, lighting and other 3D effects (.fx)
Other|||MIFRAMES|Mine-imatorkeyframes file (.miframes)
Other|||MILANGUAGE|Mine-Imatorlanguage data file (.milanguage)
Other|||MIDATA|Mine-Imatordata file (.midata)
Other|||BCA|Short for Burst Cutting Area Holds the information of the circular area near the center of a DVD, HD DVD or Blu-ray Disc, it is usually 64 bytes in size. (.bca)
Other|Cursors||ANI|Animated cursor
Other|Cursors||CUR|Cursor file
Other|Cursors||Smes|Hawk's Dock configuration file
Generalized files|General data formats|Text-based|CSV|comma-separated values
Generalized files|General data formats|Text-based|HTML|hyper text markup language
Generalized files|General data formats|Text-based|CSS|cascading style sheets
Generalized files|General data formats|Text-based|INI|a configuration text file whose format is substantially similar between applications
Generalized files|General data formats|Text-based|JSON|JavaScript Object Notation is an openly used data format now used by many languages, not just JavaScript
Generalized files|General data formats|Text-based|TSV|tab-separated values
Generalized files|General data formats|Text-based|XML|an open data format
Generalized files|General data formats|Text-based|YAML|an open data format
Generalized files|General data formats|Text-based|ReStructuredText|an open text format for technical documents used mainly in the Python programming language
Generalized files|General data formats|Text-based|.md|Markdown an open lightweight markup language to create simple but rich text, often used to format README files
Generalized files|General data formats|Text-based|AsciiDoc|an open human-readable markup document format semantically equivalent to DocBook
Generalized files|General data formats|Text-based|.yni|a configuration file similar to YAML
Generalized files|Generic file extensions|Binary files|.bak|Bak file various backup formats: some just copies of data files, some in application-specific data backup formats, some formats for general file backup programs
Generalized files|Generic file extensions|Binary files|.bk|Bak file various backup formats: some just copies of data files, some in application-specific data backup formats, some formats for general file backup programs
Generalized files|Generic file extensions|Binary files|BIN|binary data, often memory dumps of executable code or data to be re-used by the same software that originated it
Generalized files|Generic file extensions|Binary files|DAT|data file, usually binary data proprietary to the program that created it, or an MPEG-1 stream of Video CD
Generalized files|Generic file extensions|Binary files|DSK|file representations of various disk storage images
Generalized files|Generic file extensions|Binary files|RAW|raw (unprocessed) data
Generalized files|Generic file extensions|Binary files|SZH|files that are associated with zero unique file types (the most prevalent being the Binary Data format)
Generalized files|Generic file extensions|Text files|.cnf|configuration file substantially software-specific
Generalized files|Generic file extensions|Text files|.conf|configuration file substantially software-specific
